bit model, bit manufacturer, bit type, total flow area, depth in, depth out, distance drilled, drilling hours, rop, dull grade
TKC69,NOV,PDC,1.1,260,350,90,2.31,38.96103896,0-1-WT-S-X-In-CT-BHA
Z616,SLB,PDC,1.1,350,583.3,233.3,3.97,58.76574307,0-1-WT-S-X-In-CT-BHA
